epoch,loss,sim_loss,std_loss,cov_loss,var_mean,active_dims
0,40.46912384033203,1.0792495012283325,0.18012019991874695,8.984884262084961,0.6917914748191833,192
1,38.59518051147461,1.0672521591186523,0.19046960771083832,7.15213680267334,0.6671469211578369,192
2,33.9765739440918,0.9452171325683594,0.23184257745742798,4.550081729888916,0.5949206352233887,192
3,30.13217544555664,0.798266589641571,0.28488636016845703,3.053351402282715,0.5141893625259399,192
4,28.13419532775879,0.7028051614761353,0.33445239067077637,2.2027575969696045,0.4452584683895111,192
5,25.982074737548828,0.5933694243431091,0.37993407249450684,1.6494855880737305,0.38624271750450134,192
6,24.888763427734375,0.5222076773643494,0.42321985960006714,1.2530741691589355,0.33450210094451904,192
7,23.54330062866211,0.4414176940917969,0.4588232636451721,1.0372772216796875,0.29440760612487793,192
8,22.669597625732422,0.38368624448776245,0.4883180856704712,0.8694868087768555,0.26334455609321594,192
9,22.267868041992188,0.34764590859413147,0.5132355690002441,0.745830774307251,0.2381509244441986,192
10,21.800992965698242,0.31232285499572754,0.533423900604248,0.6573234796524048,0.21890071034431458,192
11,21.47722816467285,0.2842683792114258,0.5516993403434753,0.5780361294746399,0.20211593806743622,192
12,21.328372955322266,0.26578497886657715,0.5638726353645325,0.5869321823120117,0.19128961861133575,192
13,21.089012145996094,0.24690937995910645,0.5754560232162476,0.5298768281936646,0.18122492730617523,192
14,20.94951057434082,0.23176071047782898,0.586551308631897,0.49170809984207153,0.17185184359550476,192
15,20.81690788269043,0.22013990581035614,0.5931682586669922,0.48420387506484985,0.16637104749679565,192
16,20.851964950561523,0.21169471740722656,0.6029233336448669,0.48651397228240967,0.15863004326820374,192
17,20.662248611450195,0.19793935120105743,0.6090639233589172,0.4871666729450226,0.15383374691009521,192
18,20.635225296020508,0.19180461764335632,0.6135340929031372,0.5017573833465576,0.1502259373664856,192
19,20.538433074951172,0.18448521196842194,0.6174259185791016,0.49065494537353516,0.14726383984088898,192
20,20.58467674255371,0.1827867329120636,0.6213927865028381,0.48018771409988403,0.14417442679405212,192
21,20.570863723754883,0.17854169011116028,0.6258205771446228,0.46180737018585205,0.14073234796524048,192
22,20.448686599731445,0.1698492467403412,0.6286318302154541,0.48666059970855713,0.13875210285186768,192
23,20.35488510131836,0.1630648374557495,0.6307527422904968,0.509444534778595,0.13724005222320557,192
24,20.332473754882812,0.16082274913787842,0.6334903240203857,0.4746469557285309,0.13508737087249756,192
25,20.387130737304688,0.16119226813316345,0.6345549821853638,0.49344998598098755,0.13432562351226807,192
26,20.352035522460938,0.1570684015750885,0.6352927684783936,0.5430060625076294,0.13389086723327637,192
27,20.245546340942383,0.15339618921279907,0.6361281871795654,0.507436990737915,0.13310715556144714,192
28,20.278806686401367,0.15263870358467102,0.6377534866333008,0.5190038084983826,0.13192118704319,192
29,20.342336654663086,0.15429313480854034,0.6386382579803467,0.5190526247024536,0.13122320175170898,192
30,20.226701736450195,0.1460868865251541,0.6398016214370728,0.5794893503189087,0.13045012950897217,192
31,20.22385025024414,0.1473173350095749,0.6402126550674438,0.5356004238128662,0.1300218403339386,192
32,20.05812644958496,0.13989467918872833,0.6405112743377686,0.5479787588119507,0.12983162701129913,192
33,20.12358856201172,0.14139175415039062,0.6417615413665771,0.5447565317153931,0.12891924381256104,192
34,19.96382713317871,0.1358184963464737,0.6401386260986328,0.564900279045105,0.13007518649101257,192
35,20.163013458251953,0.1423639953136444,0.6422333717346191,0.5480805039405823,0.12848392128944397,192
36,20.039337158203125,0.13630981743335724,0.641510546207428,0.5938290357589722,0.12910500168800354,192
37,20.185277938842773,0.14322176575660706,0.6417101621627808,0.5619819164276123,0.12886808812618256,192
38,20.003225326538086,0.13317546248435974,0.6412538290023804,0.6424936056137085,0.12931875884532928,192
39,20.058629989624023,0.13621598482131958,0.6420776844024658,0.6012869477272034,0.12860265374183655,192
40,19.997976303100586,0.13287104666233063,0.640934407711029,0.6528409719467163,0.1294710785150528,192
41,19.952735900878906,0.1321887969970703,0.6409860849380493,0.6233638525009155,0.12937289476394653,192
42,19.947120666503906,0.13112105429172516,0.6412241458892822,0.6384900808334351,0.12919053435325623,192
43,19.874664306640625,0.12857812643051147,0.6406131982803345,0.6448824405670166,0.1296073943376541,192
44,20.007118225097656,0.13315655291080475,0.6412441730499268,0.6470978260040283,0.1291360855102539,192
45,19.96599769592285,0.13098138570785522,0.6420515775680542,0.6401755809783936,0.1285385638475418,192
46,19.965496063232422,0.130046546459198,0.640495240688324,0.7019525766372681,0.1297270655632019,192
47,20.1083927154541,0.13657602667808533,0.6408634185791016,0.6724076867103577,0.12943384051322937,192
48,19.866376876831055,0.12512913346290588,0.6407909393310547,0.7183741331100464,0.1294354498386383,192
49,19.84242820739746,0.12543436884880066,0.6411187648773193,0.6786001920700073,0.1291918158531189,192
50,19.821426391601562,0.12384195625782013,0.6408365964889526,0.7044649124145508,0.12936292588710785,192
51,19.87849998474121,0.12542518973350525,0.6398394107818604,0.7468845248222351,0.13018134236335754,192
52,19.812847137451172,0.12508295476436615,0.6390753984451294,0.7088897228240967,0.13063061237335205,192
53,19.869619369506836,0.12753073871135712,0.6395812034606934,0.6918193101882935,0.13027846813201904,192
54,19.93317413330078,0.12984341382980347,0.6404911279678345,0.6748096942901611,0.12953686714172363,192
55,19.730470657348633,0.12032848596572876,0.6379932165145874,0.772429347038269,0.13145580887794495,192
56,19.724525451660156,0.1206306591629982,0.6406934261322021,0.6914242506027222,0.1294572502374649,192
57,19.719890594482422,0.12015650421380997,0.6376599669456482,0.7744789123535156,0.13164791464805603,192
58,19.836545944213867,0.12496756762266159,0.6385075449943542,0.7496683597564697,0.13098324835300446,192
59,19.730178833007812,0.12079137563705444,0.6382966041564941,0.7529784440994263,0.13114508986473083,192
60,19.793638229370117,0.12382443249225616,0.6392542719841003,0.7166715860366821,0.13042894005775452,192
61,19.65139389038086,0.11806675791740417,0.6360247135162354,0.7991064190864563,0.13272540271282196,192
62,19.72939682006836,0.12054342776536942,0.6368263959884644,0.7951517105102539,0.13220228254795074,192
63,19.709768295288086,0.1207035630941391,0.6368511915206909,0.7708995938301086,0.1321900486946106,192
64,19.69055938720703,0.11982928961515427,0.6347788572311401,0.8253558874130249,0.13373160362243652,192
65,19.702739715576172,0.12026074528694153,0.6359479427337646,0.7975208759307861,0.13277283310890198,192
66,19.664669036865234,0.12057787925004959,0.6352636814117432,0.7686316967010498,0.1332828551530838,192
67,19.51874542236328,0.11248514801263809,0.6343333125114441,0.8482847213745117,0.13397136330604553,192
68,19.702383041381836,0.12035417556762695,0.6357851624488831,0.7988982200622559,0.1329203099012375,192
69,19.745162963867188,0.12196364998817444,0.6332898736000061,0.8638240694999695,0.13473138213157654,192
70,19.627588272094727,0.11811941862106323,0.634124219417572,0.8214971423149109,0.13420620560646057,192
71,19.665435791015625,0.11921107769012451,0.6345577239990234,0.821215808391571,0.13375724852085114,192
72,19.564830780029297,0.1146644726395607,0.6362209916114807,0.7926939725875854,0.13258913159370422,192
73,19.51036834716797,0.11250583082437515,0.6337429285049438,0.8541496396064758,0.13442441821098328,192
74,19.58905792236328,0.11389224231243134,0.6344192028045654,0.8812716007232666,0.1338975429534912,192
75,19.553869247436523,0.11302989721298218,0.6342760920524597,0.8712202310562134,0.13400188088417053,192
76,19.440460205078125,0.11190269887447357,0.6323287487030029,0.834675669670105,0.13544633984565735,192
77,19.471405029296875,0.11186257004737854,0.6313186883926392,0.8918716311454773,0.13617143034934998,192
78,19.475921630859375,0.11275223642587662,0.6322287321090698,0.8513967394828796,0.13551700115203857,192
79,19.5867862701416,0.11743047088384628,0.6308859586715698,0.8788753747940063,0.1364186704158783,192
80,19.516620635986328,0.11343637853860855,0.6299270391464233,0.9325351119041443,0.13718746602535248,192
81,19.519359588623047,0.1158163920044899,0.6296819448471069,0.8819008469581604,0.13737203180789948,192
82,19.550125122070312,0.11687106639146805,0.630778431892395,0.8588864803314209,0.13651177287101746,192
83,19.29720115661621,0.1040756031870842,0.6282457113265991,0.989168643951416,0.1384604573249817,192
84,19.60834503173828,0.12078861892223358,0.6283170580863953,0.8807037472724915,0.13836729526519775,192
85,19.313661575317383,0.10644307732582092,0.6271008253097534,0.9750641584396362,0.13933061063289642,192
86,19.345975875854492,0.10828955471515656,0.6291406154632568,0.9102204442024231,0.13768860697746277,192
87,19.455312728881836,0.11235884577035904,0.6276437044143677,0.9552493095397949,0.13880190253257751,192
88,19.29322052001953,0.10597330331802368,0.6288204193115234,0.9233784675598145,0.1379842609167099,192
89,19.35164451599121,0.10808967798948288,0.6276997327804565,0.9569087028503418,0.13873805105686188,192
90,19.330516815185547,0.1079832911491394,0.6270883083343506,0.9537255764007568,0.1392609179019928,192
91,19.46672248840332,0.1120864674448967,0.6275326013565063,0.97624671459198,0.13885244727134705,192
92,19.29108428955078,0.10468854010105133,0.6268927454948425,1.0015525817871094,0.1393994241952896,192
93,19.32809829711914,0.10642081499099731,0.6260953545570374,1.0151945352554321,0.14003612101078033,192
94,19.345762252807617,0.11043266206979752,0.6251846551895142,0.9553282856941223,0.14058661460876465,192
95,19.22115135192871,0.10311450809240341,0.6271601915359497,0.9642849564552307,0.13914784789085388,192
96,19.276512145996094,0.10720206052064896,0.6272104978561401,0.9161985516548157,0.13917505741119385,192
97,19.37401580810547,0.111419178545475,0.6257491111755371,0.9448081254959106,0.14017599821090698,192
98,19.422626495361328,0.11246968805789948,0.6284765005111694,0.8989720940589905,0.1381494402885437,192
99,19.404312133789062,0.11352894455194473,0.6248424649238586,0.945026159286499,0.1409226506948471,192
100,19.196420669555664,0.10408304631710052,0.6224339008331299,1.033496379852295,0.14273883402347565,192
101,19.1924991607666,0.1039549857378006,0.6241666078567505,0.9894605875015259,0.14136143028736115,192
102,19.29487419128418,0.10707908868789673,0.6245290637016296,1.0046719312667847,0.14108791947364807,192
103,19.30159568786621,0.10908997058868408,0.6241216659545898,0.9713041186332703,0.1413705199956894,192
104,19.236114501953125,0.10437150299549103,0.6223958730697632,1.0669314861297607,0.1427370309829712,192
105,19.197328567504883,0.10325558483600616,0.623862087726593,1.0193860530853271,0.14159637689590454,192
106,19.1187686920166,0.09887755662202835,0.6225414276123047,1.0832939147949219,0.14270830154418945,192
107,19.316078186035156,0.10972240567207336,0.6219348907470703,1.0246458053588867,0.1430884152650833,192
108,19.181398391723633,0.10358232259750366,0.6207826137542725,1.0722757577896118,0.1440127044916153,192
109,19.22871208190918,0.10561831295490265,0.6239598989486694,0.9892577528953552,0.14157363772392273,192
110,19.208784103393555,0.10478705912828445,0.620337724685669,1.0806628465652466,0.14427626132965088,192
111,19.124610900878906,0.10220301896333694,0.6217241287231445,1.0264322757720947,0.14318853616714478,192
112,19.21961212158203,0.10513302683830261,0.6203440427780151,1.0826847553253174,0.14428094029426575,192
113,19.18046760559082,0.10408066213130951,0.6219711303710938,1.0291728973388672,0.14299152791500092,192
114,19.203657150268555,0.10623176395893097,0.6203106641769409,1.0400965213775635,0.14435173571109772,192
115,19.14299774169922,0.10221467912197113,0.6199620962142944,1.0885789394378662,0.14458511769771576,192
116,19.091495513916016,0.10190431773662567,0.6194270849227905,1.0582101345062256,0.14492034912109375,192
117,19.11431121826172,0.10273898392915726,0.6201338768005371,1.0424907207489014,0.14439082145690918,192
118,18.977563858032227,0.09542110562324524,0.6191520690917969,1.1132333278656006,0.14511537551879883,192
119,19.096874237060547,0.10249436646699905,0.6210112571716309,1.0092341899871826,0.14372888207435608,192
120,19.127649307250977,0.10419628024101257,0.6195889115333557,1.0330177545547485,0.14488455653190613,192
121,18.985111236572266,0.097917839884758,0.6182546615600586,1.0807998180389404,0.14582382142543793,192
122,19.05036163330078,0.10197845846414566,0.617559552192688,1.0619128942489624,0.14632688462734222,192
123,18.936431884765625,0.09498228877782822,0.616996169090271,1.1369714736938477,0.14686807990074158,192
124,19.040029525756836,0.09986744821071625,0.6194208860397339,1.0578210353851318,0.14498542249202728,192
125,18.994369506835938,0.09877890348434448,0.6170072555541992,1.099717140197754,0.14673802256584167,192
126,19.081912994384766,0.10296786576509476,0.6141657829284668,1.1535725593566895,0.14892087876796722,192
127,19.045005798339844,0.1017719954252243,0.6159547567367554,1.1018378734588623,0.14754264056682587,192
128,19.0394344329834,0.09996107965707779,0.6154630184173584,1.153830647468567,0.14799854159355164,192
129,18.947620391845703,0.0984516590833664,0.6139702200889587,1.137073040008545,0.14909403026103973,192
130,18.948444366455078,0.09747128188610077,0.6132965683937073,1.179246187210083,0.14953434467315674,192
131,19.03385353088379,0.10162454843521118,0.6138250827789307,1.147613286972046,0.1492120921611786,192
132,18.968332290649414,0.09915700554847717,0.6149925589561462,1.1145930290222168,0.14826451241970062,192
133,18.981998443603516,0.09930837899446487,0.6139098405838013,1.15154230594635,0.149129718542099,192
134,18.883647918701172,0.09567993134260178,0.6119657754898071,1.1925054788589478,0.15063706040382385,192
135,18.91747283935547,0.09714498370885849,0.6118348240852356,1.1929781436920166,0.1507784128189087,192
136,18.88380241394043,0.09728587418794632,0.6127608418464661,1.1326345205307007,0.15003104507923126,192
137,18.930248260498047,0.09844093024730682,0.613217830657959,1.1387789249420166,0.14967802166938782,192
138,18.9774169921875,0.10188677906990051,0.6114003658294678,1.1452391147613525,0.15113744139671326,192
139,19.044347763061523,0.10443170368671417,0.6140214204788208,1.0830190181732178,0.1490289270877838,192
140,18.918968200683594,0.09867747128009796,0.6136643290519714,1.1104238033294678,0.14930830895900726,192
141,18.979543685913086,0.099400594830513,0.6125587224960327,1.1805604696273804,0.1501571387052536,192
142,18.973426818847656,0.10111051797866821,0.612895667552948,1.1232709884643555,0.1499781459569931,192
143,18.946640014648438,0.10028571635484695,0.6113657355308533,1.15535306930542,0.15118485689163208,192
144,19.119876861572266,0.10739000141620636,0.6102550029754639,1.1787515878677368,0.15197820961475372,192
145,18.917081832885742,0.09999915212392807,0.6103219985961914,1.1590533256530762,0.15192987024784088,192
146,18.90962791442871,0.09973186254501343,0.610306978225708,1.1586579084396362,0.15194271504878998,192
147,18.835227966308594,0.09788677841424942,0.6101182699203491,1.1351019144058228,0.1520722359418869,192
148,18.833721160888672,0.09778174757957458,0.6078391075134277,1.1931989192962646,0.15389251708984375,192
149,18.873563766479492,0.09911912679672241,0.6107704639434814,1.1263231039047241,0.15152519941329956,192
150,18.754793167114258,0.09261346608400345,0.606155276298523,1.2855747938156128,0.15516528487205505,192
151,18.961063385009766,0.10233832895755768,0.6072707176208496,1.2208356857299805,0.15424084663391113,192
152,18.915727615356445,0.09937599301338196,0.6082000732421875,1.2263259887695312,0.15359455347061157,192
153,18.755992889404297,0.09429527074098587,0.6064800024032593,1.2366113662719727,0.15486568212509155,192
154,18.9069881439209,0.09877090156078339,0.6064901351928711,1.2754610776901245,0.15494348108768463,192
155,18.946495056152344,0.10416659712791443,0.6090999841690063,1.1148302555084229,0.15291854739189148,192
156,18.81683349609375,0.09747795760631561,0.6073116064071655,1.197094440460205,0.1543114334344864,192
157,18.718305587768555,0.09496627002954483,0.6064459085464478,1.1830005645751953,0.1549495905637741,192
158,18.855270385742188,0.10056564956903458,0.6066014766693115,1.1760916709899902,0.1548588126897812,192
159,18.695777893066406,0.09451590478420258,0.605888307094574,1.1856722831726074,0.1554439216852188,192
160,18.72863006591797,0.09473609179258347,0.6040620803833008,1.2586759328842163,0.15684311091899872,192
161,18.696504592895508,0.09477509558200836,0.6079067587852478,1.1294575929641724,0.15384972095489502,192
162,18.727741241455078,0.09521780908107758,0.6050739288330078,1.220447301864624,0.1560225933790207,192
163,18.719036102294922,0.09338590502738953,0.6036245822906494,1.2937726974487305,0.15719813108444214,192
164,18.737632751464844,0.09592808783054352,0.6021197438240051,1.2864367961883545,0.15832768380641937,192
165,18.73304557800293,0.09444711357355118,0.6028246879577637,1.3012508153915405,0.15789207816123962,192
166,18.718610763549805,0.09629207104444504,0.6011322140693665,1.2830047607421875,0.1591099202632904,192
167,18.638830184936523,0.09077577292919159,0.6031779646873474,1.289987564086914,0.1575387418270111,192
168,18.657804489135742,0.09319589287042618,0.6049895286560059,1.2031683921813965,0.15613046288490295,192
169,18.69416046142578,0.09383748471736908,0.600983738899231,1.3236292600631714,0.1593550741672516,192
170,18.648681640625,0.09561877697706223,0.6029787063598633,1.1837444305419922,0.1577024906873703,192
171,18.64944839477539,0.09520889818668365,0.6022200584411621,1.213724136352539,0.15831902623176575,192
172,18.508201599121094,0.0902940183877945,0.6010916233062744,1.2235603332519531,0.15927909314632416,192
173,18.761621475219727,0.1006634533405304,0.6021364331245422,1.1916255950927734,0.15839186310768127,192
174,18.765268325805664,0.0991605743765831,0.6002615690231323,1.279714822769165,0.1599021852016449,192
175,18.627262115478516,0.09312096238136292,0.6005150079727173,1.2863620519638062,0.15966123342514038,192
176,18.714893341064453,0.09786003082990646,0.6012451648712158,1.23726224899292,0.15906427800655365,192
177,18.62541961669922,0.0955590307712555,0.6006370782852173,1.2205153703689575,0.15955717861652374,192
178,18.80248260498047,0.1028246134519577,0.6024098992347717,1.1716187000274658,0.1581687033176422,192
179,18.597036361694336,0.09353518486022949,0.599606990814209,1.2684829235076904,0.1603924185037613,192
180,18.679521560668945,0.09740005433559418,0.5997632741928101,1.2504395246505737,0.16025635600090027,192
181,18.566987991333008,0.09375616908073425,0.5996555089950562,1.231697678565979,0.16036967933177948,192
182,18.5039005279541,0.09293235838413239,0.5962798595428467,1.2735964059829712,0.16307321190834045,192
183,18.831735610961914,0.10413064062595367,0.6005653142929077,1.2143371105194092,0.159697026014328,192
184,18.57623291015625,0.09489980340003967,0.5993452072143555,1.2201083898544312,0.16058596968650818,192
185,18.58019256591797,0.09432696551084518,0.5962183475494385,1.3165615797042847,0.16311389207839966,192
186,18.62027359008789,0.09599997848272324,0.5975825786590576,1.280710220336914,0.16201117634773254,192
187,18.570106506347656,0.09376442432403564,0.5950397253036499,1.3500027656555176,0.1640830785036087,192
188,18.656394958496094,0.09774806350469589,0.5977725982666016,1.268378496170044,0.16193805634975433,192
189,18.581829071044922,0.09505558013916016,0.5963549613952637,1.2965664863586426,0.1629517674446106,192
190,18.635366439819336,0.09867015480995178,0.5952517986297607,1.2873164415359497,0.16386283934116364,192
191,18.52396011352539,0.0953863114118576,0.5948293209075928,1.2685691118240356,0.1642897129058838,192
